Jawaban (Indo),Answers (Eng),perceived ease of use,performance expectancy,effort expectancy,system quality,perceived usefulness,resistance to change,facilitating conditions,technological incapability,functionality,cost
" tidak  kesulitan sama bahasa yang campur sih Karena bisa bahasa indonesia Halodoc ini Ya, dari iklan-iklan TV itu aja sih","It's not difficult to mix languages because you can speak Indonesian Halodoc, yes, from those TV commercials.",,,,1,,,,,,
" tidak  masukin data Cuma kayak itu konsultasi, tanya-tanya, berbayar mahal gitu aja sih","Don't enter data It's just like a consultation, wonder, it's expensive to pay, it's just expensive",,,,,,,,,,1
"Iya, akan berbayar lumayan mahal sekali konsultasinya Sama kaya offline cuma via online aja? Rata-rata 25 sampai tergantung dari dokternya siapa gitu","Yes, it will be quite expensive to pay for the consultation The same as offline only via online? An average of 25 to depending on who the doctor is",,,,,,,,,,1
"Ya mungkin di hari itu juga cuma  tidak  langsung Iya, dulu cukup intens dan Penggunaanya kondisional aja dan sangat membantu saya","Yes, maybe on that day it was just indirect Yes, it used to be quite intense and the use was conditional and very helpful to me",,,,,2,,,,,
"Sampai sekarang sih tidak ada masalah Kan udah 5 tahun berlangganan Jadi ini ya, tidak ada khawatiran tentang keamanan besarnya karena saya yakin performa aplikasi ini bagus","Until now, there is no problem Right, it's been 5 years of subscription, so this is yes, there are no worries about the big security because I believe the performance of this application is good",,2,,,,,,,,
"Lupa saya Kalau saya sih, mending langsung ke puskesmasnya sih Langsung ketemu daripada pakai aplikasi ribet","I forgot that if I did, I would go directly to the health center and meet directly instead of using complicated applications",,,1,,,1,,,,
"Itu karena kalau misalnya Tengah malam, terus darurat aja sih Kalau misalnya  tidak , mending langsung ke rumah sakit sendiri ribet","That's because, for example, if it's midnight, it's just an emergency, if you don't, going directly to the hospital itself is complicated",,,1,,,,,,,
"Belum punya kalo mobile JKN tapi  pakai  Asian Parent ada buat Baca keluhan-keluhan, sama mengalami juga atau  tidak , tentang ini juga ada ini anak","I don't have a mobile JKN but use Asian Parent to read complaints, whether you experience it or not, about this there is also this child",,,,,,2,,,,
Terus cocoknya keluhanku sama Terus nanti lihat jawabannya Kayak gitu aja dan Belum pernah nyoba bertanya karena kendala hp suka ngelag memory penuh,"Then my complaint is the same, and then I'll see the answer like that and I've never tried to ask because of the problem of my cellphone like to lag full memory.",,,,,,,,2,,
Kadang aku sok buka Tiktok itu sih gatau tiba-tiba muncul soal ibu hamil informasi bagus juga disana,"Sometimes I always open Tiktok, but suddenly it appears about pregnant women, good information is also there",,,,,,,,,2,
"tidak  pakai , Cuma masukin data kaya tentang haid terakhir kaya data itu Ketahuan minggu keberapa hamilnya","don't use it, Just enter rich data about the last period rich in data Find out what week she is pregnant",,,,,,2,,,,
"asian parents saya  pakai , tidak ada lain selain  pakai  asian parents","Asian Parents I use, nothing else but Asian Parents",,,,,,1,,,,
mau tanya tanya boleh Mau tanya yang lain Tergantung pemakaiannya aja si cepat dijawab,"If you want to ask questions, you can ask something else Depending on the use, you will be answered quickly",,2,,,,,,,,
"Kayaknya Cuma Kaya hpt, mens Hooh gitu aja Nanti ngitung umur kehamilan untuk kualitas bagus","It seems like it's just like a cellphone, mens Hooh that's how to calculate the gestation age for good quality.",,,,,,,,,2,
Informasi terus bertanya Nanggapinya bisa langsung Sesama perkumpulan ibu hamil aja jadi disana fitur lengkap,"To answer questions and answers, you can ask questions directly from the Pregnant Women's Association, so there are complete features",,,,2,,,,,,
"Iklannya juga seputar ini dengan kebutuhan ibu hamil bayi gitu jadi saya download, saya juga yakin mudah gunainnya","The ad is also about this with the needs of pregnant women so I downloaded it, I am also sure it is easy to use",2,,,,,,,,,
"Sering kayaknya sih. Kalau ada kegalauan apa gitu, Benar-benar banyak galauannya ini. jadi bisa liat informasi disana, informasi bagus di aplikasi","Often it seems like it. If there is any confusion, there is really a lot of confusion. You can find the information here, it's a good idea to check it out.",,,,,,,,,2,
"Baru pertama ya Jadi, termasuk sangat sering mentidakses nih karena sangat membantu","It's the first time, so, including very often using it because it's very helpful",,,,,2,,,,,
kalau buat tanya-jawab si saya cuman Komentar saja cepat juga dijawab,"If you have any questions, I'll just leave a comment and I'll be quick to respond.",,2,,,,,,,,
"Kalau ada kegalauan apa, itu komentar Biasanya ada, biasanya nunggu tapi cepat dijawab","If there is any confusion, it is a comment Usually there is, usually waiting but quickly answered",,2,,,,,,,,
"Tahu sendiri saja tanpa ada rekomendasi dari orang lain. Kalau sesama teman kayak gitu, banyak yang ngobrolin katanya fitur lengkap untuk kita","Just know for yourself without any recommendations from others. If your friends are like that, many people talk about it and say it's a complete feature for us",,,,2,,,,,,
Biasanya cuman nge-search di Google saja buat cari informasinya karena ada aplikasi jadi mudah,"Usually, you just have to search on Google to find the information because there is an app so it is easy to use.",,,2,,,,,,,
Ini soalnya  tidak  ada data-data masuk juga Safety banget jadinya,This is because there is no incoming data and it is very safe,,,,,,,,,,
"Oh, jadi nanti dapat rekomendasi dari teman aja si katanya fiturnya lengkap bagus juga","Oh, so later I can get a recommendation from a friend who said the features are complete and good too",,,,2,,,,,,
"Kalau ketemu aplikasi yang  pakai  bahasa Inggris ga pernah si, soalnya sering yang  pakai  bahasa Indonesia lengkap disana ","If you find an application that uses English, you will never find it, because it is often used in complete Indonesian there",,,,2,,,,,,
"membantu banget sih, Bantu banget, Jadi pertumbuh kembang anaknya bisa terdeteksi, Contohnya anak ini yang kedua Lebih ke anaknya yang kedua, Biasanya sih kalau saya Mereka kan ada bukunya nih, Buku ini dari rumah sakit Misalkan ini tadi kan dicek, dia catat lagi, Dimasukin ke sini Berat badannya Misalkan tambah ya Kadang saya dokumentasiin juga, Rekam nih misalkan anaknya segede gini lebih buat pertumbuh kembang anak aja si","It really helps, it really helps, So the child's growth and development can be detected, For example, this child is the second More to the second child, Usually if I am They have a book, This book is from the hospital Suppose this was checked earlier, he recorded it again, Put it here Weight Suppose it is increased Sometimes I document it too, Record it, for example, the child is this big for the growth and development of the child.",,,,,2,,,,,
"Kalau untuk anak ya, Nih kan kelihatan berat badannya, Berarti dia normal gitu Kalau dulu masih ngegarisin ya, Ada namanya KMS Nih ada kayak Garis fotografik ini sayanya Males Jadi di hape aja. pokonya sangat membantu aplikasinya","If it's for children, it looks like their weight, it means that they're normal If they used to still underline, yes, there's a name KMS Here's something like this photographic line, I'm lazy so it's just on my phone. The point is that it is very helpful for the application",,,,,2,,,,,
"Ini kan pertumbuhannya ya, Cuma kalau perkembangan sih kurang-Kurang ke pakai  gitu Jadi ada beberapa fitur Kayaknya tidak ke pakai  Di tahapan kembang gitu kan, Jadi emang tidak ke pakai  Tapi sebetulnya fiturnya bagus sih sayang aja ada fitur terbatas","This is the growth, yes, it's just that if the development is less and less to use it So there are some features that don't seem to be used in the development stage, right, so it's not going to be used But actually the features are good, unfortunately there are limited features",,,,1,,,,,,
"Tenaga Kesehatan, Kalau khusus pakai aplikasi ini ga ada rekomendasi dari tenaga Kesehatan ini  tidak  sih jadi dari diri sendiri","Health Workers, If you specifically use this application, there is no recommendation from this Health Worker it is not from yourself",,,,,,,1,,,
"tidak  pakai  kalau pakai aplikasi karena takut, Gimana ya? Sebenernya ini bisa di pakai  siapa aja sih Bisa di pakai  siapa aja, Asal tinggal masukin berat badan, tinggi badan sama Lingkar kepala gitu","I don't use it if I use the application because I'm afraid, how about it? Actually, this can be used by anyone, as long as you put in weight, height and head circumference",,,,,,2,,,,
"Nyaman banget, Jadi mudah bisa dibawa kemana-mana sih Lebih simple gitu","It's very comfortable, so it's easy to carry everywhere It's simpler",,,2,,,,,,,
"Kalau bayar Kayaknya  tidak  deh, Maunya gratis aja Ibu-ibu mah soalnya mahal","If you don't want to pay for it, it's expensive.",,,,,,,,,,1
Sebetulnya banyak ya Kalau liat di playstore Bisa kan tuh tumbuh kembang Cuman kenapa waktu itu Ini banyak kan ya Oh ini tuh direkomendasiin perawat temen sih Direkomendasiin temen Jadi kebetulan dia itu Oh iya saya jadi keingetan Dia tuh nakes Jadi ini katanya bagus Dan memang standar si grafik anaknya itu Diliat dari standar kemenkes fitur lengkap juga di aplikasinya,"Actually, there are a lot, yes, If you look at the playstore, you can grow and develop Just why at that time this is a lot, right, Oh this is recommended by a friend's nurse, it's recommended by a friend So it just so happens that he is Oh yes, I became a desire He is a health worker So this is said to be good And indeed the standard of the child's graph is seen from the standard of the Ministry of Health, complete features are also in the application",,,,2,,,2,,,
"Maksudnya yang Indonesia bukan yang luar negeri kan kadang, Kalau standar luar negeri itu terlalu tinggi Misalkan anak setinggi ini dibilang pendek gitu kan Kalau di Indonesia kan standarnya beda gitu Kayak gitu sih, Menyesuaikan sama Indonesia Gitu sih jadi performa bagus si aplikasinya","This means that Indonesia is not a foreign country, sometimes, if the foreign standard is too high, for example, a child this tall is said to be short, right? If in Indonesia, the standards are different, like that, adjusting to Indonesia That's how good performance the application is.",,2,,,,,,,,
Iya banget-banget Semakin banyak reviewnya Semakin tinggi bintangnya Itu pasti saya pilih Semakin banyak yang download ya biasanya karena pasti performa bagus si aplikasinya,"Yes, it's really the more reviews the higher the star That's what I definitely choose The more people download it, usually because it must be a good performance of the application",,2,,,,,,,,
"Saya sering rekomendasiin, Apalagi anak-anak yang Eh ibu-ibu yang baru punya anak pakai ini deh gitu Soalnya biar simple kitanya, Gampang gitu Buat nge-trak-nya gitu. jadi muah untuk ibu ibu","I often recommend, especially children who are mothers who just have children use this, so it's easy for us to make it easy. So it's for the mothers",,,2,,,,,,,
"Kadang tuh ada kesusahan, terus bingung ya Jadi kalau udah kesusahan, males lagi lanjut karena ribet kan","Sometimes there is a problem, and sometimes it is confusing. So when you are in trouble, it is lazy to continue because it is complicated, right?",,,1,,,,,,,
"tidak ada, aku tau dari temenku aja sih yang rekomendasiin karena informasi bagus disana","No, I know only from my friends who recommended it because the information is good there.",,,,,,,,,2,
"Kalau ibu nyaman tidak kalau beralih dari teknologi? Langsung sih, langsung ke posyandu ini Karena kan bisa konsultasi kan di posyandu kalau aplikasi takut salah informasi","If you are comfortable with technology, don't you want to move away from technology? Directly, go directly to this posyandu because you can consult at the posyandu if the application is afraid of misinformation",,,,,,2,,,,
"Kalau yang di, emang yang di primaku bisa konsultasi langsung emang? tidak bisa kayaknya, cuman ngecek aja Jadi mending langsung ke posyandu aja kalau aku takut juga kan salah salah","If it's the one in my prime, can I really consult directly? I can't help it, I just want to check it out. So it's best to go straight to the posyandu if I'm afraid I'm wrong too.",,,,,,2,,,,
"Pilihannya  pakai  primaku itu, apa ya, jelas gitu loh aplikasinya Jadi jelas kayak mau nyantumin gitu-gitu, jelas sih Jadi aku lebih pilih ke primaku aja","The choice is to use my primary, what is it, it's clear that the application So it's clear that I want to use it, it's clear that I prefer to use it",,,,,,1,,,,
"Dari pengaruh sih, soalnya ya itu tadi mending pakai primaku aja gitu karena fitur lengkap di aplikasinya","From the influence, the problem is, yes, I just used it primi because of the complete features in the application",,,,2,,,,,,
"Ada yang saran dari temen-temen tuh emang ke situ, makanya aku langsung beralih ke primaku aku yakin mudah juga ","There were suggestions from friends to go there, so I immediately switched to my primary, I'm sure it's easy too",2,,,,,,,,,
"Takut? Iya, takut sih Ada-ada takutnya juga sih Tapi kan itu harus dicantumin ya kalau tidak salah ya Ya udah dicantumin aja, tapi ya cuman paling tidak terlalu privasi banget ya","Fear? Yes, I'm afraid, but it must be listed, if I'm not mistaken, yes, it's already listed, but yes, it's just at least too privacy.",,,,,,2,,,,
"Ke adik sih Ya nantinya ada arahin ke adik saya buat ngasih, ya pakai aplikasi itu informasi bagus disana","To my sister, yes there will be a direction to my sister to give, yes use the application it's good information there",,,,,,,,,2,
Karena emang primaku itu juga cukup membantu ya kalau misalnya kita tidak bisa dateng ke posyandu secara langsung gitu jadi gampang di mudahkan,"Because it's really primary, it's also quite helpful, for example, if we can't go to the posyandu directly, so it's easy to make it easier",,,2,,,,,,,
"Udah ada jawabannya gitu, tinggal ke apotek diobatnya gitu Lebih gampang aja gitu pakai aplikasi, Cepet responnya? Cepet respon juga","There is already an answer, just go to the pharmacy for treatment, it's easier to use the application, how fast is the response? Quick response too",,2,2,,,,,,,
"Ya kan itu ada yang khusus dokter yang tidak gratis, aplikasi ada yang gratis juga gitu Paling ya bantuannya ada sih dari dokter. saya pakai yang gratis aja","Yes, there are special ones for doctors that are not free, applications are also free, at least the help is from doctors. I just use the free ones",,,,,,,,,,2
" tidak  sih, standar aja harganya menurutku ga terlalu mahal juga buat kesehatan, terjangkau lah","No, the standard price is not too expensive for health, it's affordable",,,,,,,,,,2
Mungkin karena yang banyak iklan primaku jadi taunya itu aja gitu informasi bagus disana,Maybe it's because I have a lot of good information out there.,,,,,,,,,2,
"Ya sangat membantu juga, soalnya saya jadi merasa diarahin gitu Kayak gitu","Yes, it was very helpful too, because I felt directed like that",,,,,2,,,,,
"Jadi tidak, apa namanya tuh, tidak keurus gitu Apalagi buat ibu baru, kan tidak tahu harus ngecek apa ke anak Jadi pas ada primaku ini, jadi ngerasa membantu aja","So no, what's the name, don't take care of it Especially for new mothers, you don't know what to say to your child So when I have this primary, I feel like I'm just helping.",,,,,2,,,,,
"Ngerasa gampang gampang aja, maksudnya waktu pakai nya gampang aja","It's so easy to use, it means it's easy to use.",,,2,,,,,,,
"Paling kalau misalnya ada bingung-bingung, kalau tidak nanya suami, nanya temen, atau nanya juga kayak gitu si karena saya yakin mudah gunainnya","Especially if for example there is confusion, if you don't ask your husband, ask your friends, or ask like that because I believe it is easy to use",2,,,,,,,,,
Tapi rasanya primaku udah lengkap fitur di aplikasinya sih tampilannya malah enak diliatnya,"But it feels like my primaku is already full of features in the application, it looks even nice to look at",,,,2,,,,,,
Lagi pula yang di pakai  kan paling bentar tuh kayak ngukur berat badan jadi dikasih tau informasi bagus tentang hasilnya,"At the end of the day, it's like measuring your weight, so you can get a good idea of what the results are.",,,,,,,,,2,
"Kalau saya, dua-duanya itu sama-sama bagus aplikasi kesehatannya performanya juga bagus di saya","For me, both are equally good, the health application has a good performance in me",,2,,,,,,,,
"Tapi kalau yang di primaku, sebetulnya tidak apa-apa juga sih, karena udah siap juga ya, saya juga yakin mudah gunainnya","But if it's in my prime, it's actually okay, because it's ready too, yes, I'm also sure it's easy to use",2,,,,,,,,,
"Mungkin lebih inget kali ya kalau misalnya pakai aplikasi, bisa ngontrol karena fitur lengkap di aplikasinya","Maybe it's more memorable if you use an application, for example, you can control it because of the complete features in the application",,,,2,,,,,,
"Sebetulnya juga lebih praktis  pakai  aplikasi, karena sekarang tidak apa-apa  pakai  HP ya kemana-mana, jadi tinggal catet di situ jadi gampang","Actually, it's also more practical to use the application, because now it's okay to use your cellphone everywhere, so just take notes there so it's easy",,,2,,,,,,,
Sebetulnya gitu aja sih aplikasinya gratis juga,"Actually, the application is free too",,,,,,,,,,2
"Harusnya kalau  pakai  primaku mah tidak ya, karena saya hampir tiap hari pegang HP juga jadi gampang aja","If I use my primary, I shouldn't, because I hold my cellphone almost every day, so it's easy",,,2,,,,,,,
"Kalau sama aja? Kalau sama aja, cuman kalau yang lebih sering  pakai  primaku sih saya yakin mudah daripada aplikasi lain","If it's the same? If it's the same, it's just that if I use primi more often, I'm sure it's easier than other applications",2,,,,,,,,,
"Karena saya yang lebih ininya fitur-fitur nya, emang fitur lengkap di aplikasinya","Because I am the one who is more interested in the features, it is the complete features in the application",,,,2,,,,,,
"Tapi suami juga selalu saya kasih informasinya, jadi emang informasi bagus di aplikasinya","But I also always give my husband the information, so it's really good information in the application",,,,,,,,,2,
"Gimana tadi pertanyaannya? Negatifnya sih, ini sih kayak jadi ketergantungan ya jadi lumayan takut","What was the question? On the flip side, it's kind of scary.",,,,,,2,,,,
"Waktu itu sama dikasih sama dokter anak, sama dokter anak","At that time, it was the same as the pediatrician, the same pediatrician",,,,,,,2,,,
"Sama teman-teman sebelumnya, cobain  pakai  aplikasi Primaku katanya fitur lengkap disana","Like my previous friends, try using the Primaku application, he said that it has complete features there",,,,2,,,,,,
"Terus pas waktu ke DSA, sama dokter anaknya juga coba  pakai  Primaku","Then when it was time to go to DSA, the pediatrician also tried to use Primaku",,,,,,,2,,,
"Cuman saya itu, waktu itu kan suka rada malas pakai  Primaku karena bagi saya tidak ribet awalnya, jadi balik lagi ke buku gitu, yang di-plotting-plotting gitu loh","It's just me, at that time I liked to be a bit lazy to use Primaku because for me it wasn't complicated at first, so I went back to the book, which was plotted like that",,,1,,,,,,,
"Selain dari teman-teman, terus dari DSA, kan saya  pakai  Instagram gitu, terus ada siapa, terus dia lagi buka apa, kayak misalnya influencer gitu, buka apa nih, teman Bumil gitu ya informasi bagus dan kualitas bagus disana","Apart from friends, continue from DSA, I use Instagram, who is there, what is he open again, like for example an influencer, what is open, Bumil friends are good information and good quality there",,,,,,,,,2,
Jadi muncul kan itu teman Bumil di sosial media saya direkomendasi sama dokter dokter juga,So it appeared that Bumil's friend on social media was recommended by a doctor as well,,,,,,,2,,,
"Terus udah gitu, lihat Primaku atau apa gitu muncul lagi gitu Paling gitu aja sih sama gratis juga","And then that's it, see my Primi or something like that appears again, at least that's the same as free too",,,,,,,,,,2
"Ya udah pasti saya mah khawatir dan takut juga gitu, karena jangankan data ini ya ini aja apa, kayak pinjol-pinjol, tiba-tiba muncul pinjol, dari mana orang saya tidak ngirim apa-apa kan, itu aja bisa gitu","Yes, I'm definitely worried and scared too, because let alone this data, what is this, like loans, suddenly there is a loan, where do my people send nothing, right, that's all it can be",,,,,,2,,,,
"Jadi semua data yang udah kesebaran sosial media saya, sebetulnya udah jadi resiko, cuman ya takut aja sebetulnya, kalau tiba-tiba ada orang dateng, nagih apa gitu","So all the data that has been spread on my social media, actually has become a risk, it's just that I'm just scared, actually, if suddenly someone is dating, what is it?",,,,,,2,,,,
Itu aja sebetulnya tapi keseluruhan aplikasinya bagus membantu saya banget,That's all there is actually but the whole application is good for me,,,,,2,,,,,
aplikasi yang saya gunakan memudahkan saya dalam mengkontrol saya dan terutama anak saya sih mas,The application I use makes it easier for me to control myself and especially my child,,,2,,,,,,,
"masalah teknis sih paling lebih ke kendala penyimpanan memory hp saya yang penuh, selebihnya gaada sih buat kendalanya","The technical problem is mostly the problem of my cellphone's full memory storage, the rest is not the problem.",,,,,,,,2,,
gaada sih tenaga kesehatan yang rekomendasiin aplikasi kesehatan sama dokter juga,There are no health workers who recommend health applications with doctors as well,,,,,,,2,,,
"kalau faktor usia kayaknya mempengaruhi ya mas, biasanya yang udah berumur ga  pakai  aplikasi kesehatan karena sulit juga kan, daripada yang masih muda gini kan","If the age factor seems to affect it, ma'am, usually those who are old don't use health applications because it's difficult, right, than those who are still young, right?",1,,,,,,,,,
"paling perbedaannya kalau suami saya gamau ribet sih mas, jadi minta tolong ke saya kalau mau pesen obat di halodok jadi saya juga yang ribet","The biggest difference is that my husband is very complicated, so ask me if you want to order medicine at Halodok so I am also the one who is complicated",,,1,,,,,,,
"paling diadakan sosialisasi tentang aplikasi kesehatan dari posyandunya, nah biar yang lainnya juga sadar kalau aplikasi kesehatan juga penting kan membantu kita juga","Most socialization about health applications is held from the posyandu, so that others are also aware that health applications are also important, it helps us too",,,,,2,,,,,
"kalau kejenuhan  tidak  sih mas, soalnya ngga setiap hari di pakai  juga juga aplikasinya cepat","If you don't get bored, it's because it's not used every day, and the application is also fast",,2,,,,,,,,
"ada kendala sih, kalau itu paling cari di internet atau  tidak  tanya ibu-ibu lain yang pakai aplikasi kesehatan","There are obstacles, if it is the most searched on the internet or if you don't ask other mothers who use health applications",,,,,,,,2,,
selama ini nyaman karena simpel dan mudah dan tampilannya juga enak diliatnya,"So far, it has been comfortable because it is simple and easy and the appearance is also pleasing to the eye",,,2,,,,,,,
reaksi negatif sih gaada mas paling kendala memory hp penuh,Negative reactions are the most common problem with a full cell phone's memory.,,,,,,,,2,,
ga begitu ngaruh buat pendapatan bulanan dalan penggunaan aplikasi kesehatan soalnya gratis juga,It doesn't really affect your monthly income in the use of health applications because it's free too.,,,,,,,,,,2
"kemampuan saya buat aplikasi kesehatan sih udah lumayan paham, jadi saya yakin mudah paham","My ability to make health apps is already quite understandable, so I'm sure it's easy to understand",2,,,,,,,,,
"pastinya dicari dulu ya mas di internet buat harganya mahal atau tidak buat biaya layanan buat aplikasi kesehatan, soalnya kalau mahal juga gamau  pakai ","Of course, you should look for it first on the internet to make it expensive or not to make service costs for health applications, because if it's expensive, you can also use it",,,,,,,,,,1
sejauh ini belum ada promo buat aplikasi halodok sama primaku walaupun  pakai nya gratis sih,So far there has been no promo for the Halodok Sama Primaku application even though it's free to use,,,,,,,,,,2
karena menurut saya lebih enak pakai aplikasi mas soalnya efisien dan membantu banget ,Because I think it's better to use the MAS application because it's efficient and very helpful,,,,,2,,,,,
"kalau saya ga terlalu buat pakai aplikasi kesehatan saya yakin paham aja buat  pakai nya, karna saya juga sering pakai hp jadi terbiasa","If I don't use health applications too much, I'm sure I understand how to use them, because I also often use cellphones so I'm used to it.",2,,,,,,,,,
"direkomendasiin sama saudara yang waktu itu punya anak kecil, disuruh pakai aplikasi primaku soalnya fitur lengkap disana","Recommended by my brother who had a small child at that time, I was told to use the Primaku application because the complete features there were",,,,2,,,,,,
"pengaruh, karena kalau ulasannya jelek saya gamau pakai pasti jelek atau fitur jelek terbatas","influence, because if the reviews are bad, I don't want to use them for bad or limited bad features",,,,1,,,,,,
biasanya ada iklan di instagram tentang aplikasi kesehatan kayanya informasi bagus kan disana,"There are usually ads on Instagram about health applications, rich in good information, right?",,,,,,,,,2,
saya waktu kehamilan itu ada  pakai  aplikasi  untuk melacak perkembangan janin pada masa kehamilan,"When I was pregnant, there was an application to track the development of the fetus during pregnancy",,,,,,1,,,,
"mungkin karena fitur lengkap dibandingkan sama aplikasi lain, saya udah nyoba nyoba juga pakai aplikasi lain tapi aplikasi ini lebih lengkap dan gratis juga.","Maybe because of the complete features compared to other applications, I have tried to use other applications as well, but this application is more complete and free as well.",,,,2,,,,,,2
Kalau aplikasi lain itu kebanyakan harus bayar langganan kalau mau dapat fitur yang lebih lengkap. jadi saya milih yang ini aja soalnya fitur yang saya butuh itu udah ada semua dan gratis ga perlu bayar.,"If other applications, most of them have to pay a subscription if they want to get more complete features. So I chose this one because the features I needed were already there and free I didn't need to pay.",,,,,,,,,,2
"sebenarnya fiturnya lengkap hampir saya pakai semua tapi saya lebih sering make fitur untuk lacak perkembangan janin dan juga di aplikasi ini itu ada banyak artikel dan video tentang kehamilan mulai dari kesehatan ibu, kondisi kehamilan, olahraga, sampe resep makanan ada semua. Jadi saya juga sering baca baca artikel tentang kehamilan agar janinnya sehat dan gizinya terbutuhi hingga melahirkan.","Actually, the features are complete, I use almost all of them, but I often use the feature to track fetal development and also in this application there are many articles and videos about pregnancy ranging from maternal health, pregnancy conditions, exercise, to food recipes. So I also often read articles about pregnancy so that the fetus is healthy and the nutrition is needed until giving birth.",,,,2,,,,,,
iya yang ini ada juga model 3 dimensi jadi kita bisa liat gimana kira-kira bentuk janin setiap minggunya. Bagus sih ini fiturnya jadi bisa ngeliat bentuk janinnya itu gimana. Ada juga fitur untuk memperkirakan ukuran bayi dari beratnya berapa dan tingginya berapa. jadi dapat informasi bagus  disana,"Yes, this one also has a 3-dimensional model so we can see what the shape of the fetus looks like every week. It's good that this is a feature so you can see what the shape of the fetus is. There is also a feature to estimate the size of the baby from how much it weighs and how tall it is. So you get some good information there.",,,,,,,,,2,
Yang untuk ibunya juga ada fitur untuk ngontrol berat badan jadi bisa tau setiap minggunya itu berat badan kita bertambah atau tidak. Pokoknya fiturnya lengkap dan sangat bagus untuk janin dan juga ibu yang lagi hamil.,"For her mother, there is also a feature to control weight so you can know every week whether you are gaining weight or not. Anyway, the features are complete and very good for the fetus and also pregnant mothers.",,,,2,,,,,,
Kalau kendala mungkin aplikasinya dalam bahasa inggris jadi saya ubah dulu ke bahasa indonesia biar saya mudah dan ngerti isinya apa. Tapi untuk video karena orang ngomong tetap pakai bahasa inggris tidak berubah ke bahasa indonesia jadi saya tidak terlalu ngerti. jadinya saya lebih banyak baca artikel dari pada nonton video.,"If the problem is maybe the application is in English, so I changed it to Indonesian first so that I can easily and understand what the content is. But for the video, because people still speak English, it doesn't change to Indonesian, so I don't really understand. So I read more articles than watch videos.",,,,1,,,,,,
Kalau untuk make aplikasi kalau saya mudah  pakai nya. mungkin pas awal awal bingung dimana letak letak tombolnya jadi harus ngulik dulu biar tau ada apa aja fiturnya.,If I want to make an application if I can easily use it. Maybe at the beginning you were confused about where the button was located so you had to study it first to find out what the features were.,,,2,,,,,,,
Tapi untuk artikel itu kadang kadang pembahasannya tidak terlalu spesifik karena ya informasi terbatas jadi harus tanya ke dokter/bidan lagi. ,"But for that article, sometimes the discussion is not too specific because yes, the information is limited, so you have to ask the doctor/midwife again.",,,,,,,,,1,
"Tentu sangat bermanfaat dan mempermudah ibu hamil karena fitur fiturnya lengkap seperti tadi itu bisa ngecek perkembangan janin, ngeliat model 3 dimensi, liat berat dan tinggi bayi dan artikel yang ngasih banyak informasi kepada ibu hamil. Pokoknya sangat membantu","Of course, it is very useful and makes it easier for pregnant women because the features are complete as before, it can check the development of the fetus, look at 3-dimensional models, see the weight and height of the baby and articles that provide a lot of information to pregnant women. Anyway, it's very helpful",,,,2,2,,,,,
"Wah, ada banyak banget fitur lengkap di PRIMAKU yang saya gunakan setiap hari! Yang paling sering saya  pakai  itu fitur pelacakan perkembangan janin. Setiap minggu, saya bisa lihat perkembangan si kecil mulai dari ukuran, berat, sampai perkembangan organ-organ vitalnya.","Wow, there are so many complete features in PRIMAKU that I use every day! The one I use most often is the fetal development tracking feature. Every week, I can see the development of my little one starting from size, weight, to the development of his vital organs.",,,,2,,,,,,
"Seru banget deh, jadi setiap minggu rasanya kayak dapat kejutan baru. Selain itu, ada juga fitur catatan kesehatan yang membantu saya mencatat gejala-gejala yang saya rasakan, jadwal kunjungan ke dokter, dan hasil pemeriksaan. Oh iya, kalender kehamilan juga tidak kalah penting. Dengan kalender ini, saya bisa mengatur jadwal kegiatan terkait kehamilan, jadi tidak ada yang kelewat. kualitasa informasi bagus dan lengkap disana","It's really exciting, so every week it feels like I get a new surprise. In addition, there is also a health record feature that helps me record my symptoms, schedule visits to the doctor, and the results of the examination. Oh yes, the pregnancy calendar is no less important. With this calendar, I can set up a schedule of pregnancy-related activities, so no one misses. The quality of the information is good and complete there",,,,,,,,,2,
"PRIMAKU punya versi gratis dan juga versi premium. Saya sendiri  pakai  versi gratisnya dulu, dan menurut saya fiturnya udah cukup membantu","PRIMAKU has a free version as well as a premium version. I used the free version myself, and I think the features are quite helpful",,,,,2,,,,,2
"Tapi, pas lihat fitur-fitur tambahan di versi premium, kayaknya menarik banget fitur lebih lengkap lengkap. Ada konten edukasi yang lebih lengkap, konsultasi langsung dengan ahli, dan fitur-fitur eksklusif lainnya. Harga yang ditawarkan menurut saya cukup worth it sih, apalagi kalau kita benar-benar ingin mendapatkan informasi yang lebih lengkap dan personal. ","But, when you look at the additional features in the premium version, it seems very interesting that the features are more complete and complete. There is more complete educational content, direct consultations with experts, and other exclusive features. In my opinion, the price offered is quite worth it, especially if we really want to get more complete and personalized information.",,,,2,,,,,,
"Jadi, ya menurut saya, harganya sebanding dengan manfaat yang kita dapat walupun itu yang gratis","So, yes, in my opinion, the price is proportional to the benefits we get even though it's free",,,,,,,,,,2
saya tidak ragu-ragu dan takut juga  pakai  aplikasi kesehatan kayak gini tuh sebenarnya,"I don't hesitate and am afraid to use health apps like this, actually.",,,,,,2,,,,
"Tapi, setelah beberapa kali mencoba dan melihat betapa user-friendly-nya PRIMAKU, saya jadi semakin percaya diri. Desainnya simpel dan mudah dipahami, gampang di pakai  juga","But, after a few tries and seeing how user-friendly PRIMAKU is, I became more confident. The design is simple and easy to understand, easy to use too",,,,2,,,,,,
